epoch	loss
0	1.0666569471359253
1	0.8976510167121887
2	0.7941997647285461
3	0.7028515338897705
4	0.6246779561042786
5	0.5584772229194641
6	0.49970564246177673
7	0.44609397649765015
8	0.41397249698638916
9	0.38405412435531616
10	0.3597719967365265
11	0.34853658080101013
12	0.3280631899833679
13	0.319898784160614
14	0.2992314100265503
15	0.2821977138519287
16	0.2806437909603119
17	0.2775830030441284
18	0.26925042271614075
19	0.2629593014717102
20	0.2550373077392578
21	0.24770861864089966
22	0.2446354180574417
23	0.2439013123512268
24	0.24099422991275787
25	0.2355278581380844
26	0.23097042739391327
27	0.22940118610858917
28	0.22830775380134583
29	0.2248871922492981
30	0.22093051671981812
31	0.21820558607578278
32	0.21607744693756104
33	0.21391615271568298
34	0.21130359172821045
35	0.20910842716693878
36	0.2078460305929184
37	0.20668865740299225
38	0.20493967831134796
39	0.20266330242156982
40	0.20044571161270142
41	0.19887462258338928
42	0.19773666560649872
43	0.19619789719581604
44	0.1945033222436905
45	0.19324731826782227
46	0.1920139044523239
47	0.19043169915676117
48	0.18883652985095978
49	0.18765178322792053
50	0.18669357895851135
51	0.18560901284217834
52	0.18447040021419525
53	0.18350200355052948
54	0.18261903524398804
55	0.18163302540779114
56	0.18064667284488678
57	0.17962439358234406
58	0.17862920463085175
59	0.17790549993515015
60	0.177074134349823
61	0.17620675265789032
62	0.17544712126255035
63	0.17470893263816833
64	0.17408284544944763
65	0.1735001653432846
66	0.17278172075748444
67	0.17223000526428223
68	0.1719258725643158
69	0.17201636731624603
70	0.17405438423156738
71	0.17647004127502441
72	0.17270396649837494
73	0.17172300815582275
74	0.17014849185943604
75	0.17079982161521912
76	0.1685335636138916
77	0.16985972225666046
78	0.16857361793518066
79	0.16778013110160828
80	0.16840553283691406
81	0.16759517788887024
82	0.16680237650871277
83	0.16682223975658417
84	0.16626937687397003
85	0.1655770242214203
86	0.1655525118112564
87	0.1649380773305893
88	0.16418729722499847
89	0.16414964199066162
90	0.16367918252944946
91	0.16302886605262756
92	0.1629284769296646
93	0.16241160035133362
94	0.16217537224292755
95	0.16171662509441376
96	0.1613965928554535
97	0.16119994223117828
98	0.16071154177188873
99	0.1605367362499237
